GCF_000196655.1,Methanohalobium_evestigatum_Z-7303,644295,EURYARCHAEOTA
GCF_000025865.1,Methanohalophilus_mahii_DSM_5219,547558,EURYARCHAEOTA
GCF_000147875.1,Methanolacinia_petrolearia_DSM_11571,679926,EURYARCHAEOTA
GCA_016699325.1,Methanolinea_sp.,2268143,EURYARCHAEOTA
GCF_013388255.1,Methanolobus_zinderi_DSM_21339,536044,EURYARCHAEOTA
GCF_000328665.1,Methanomethylovorans_hollandica_DSM_15978,867904,EURYARCHAEOTA
GCF_029633915.1,Methanomicrobium_antiquum_DSM_21220,487686,EURYARCHAEOTA
GCF_029854155.1,Methanonatronarchaeum_sp._AMET-Sl,3037654,EURYARCHAEOTA
GCF_024662215.1,Methanoplanus_endosymbiosus_DSM_3599,33865,EURYARCHAEOTA
GCF_000007185.1,Methanopyrus_kandleri_AV19,190192,EURYARCHAEOTA
GCF_000327485.1,Methanoregula_formicica_SMSP,593750,EURYARCHAEOTA
GCF_000217995.1,Methanosalsum_zhilinae_DSM_4017,679901,EURYARCHAEOTA
GCF_000007345.1,Methanosarcina_acetivorans_C2A,188937,EURYARCHAEOTA
GCF_000007065.1,Methanosarcina_mazei_Go1,192952,EURYARCHAEOTA
GCF_000012545.1,Methanosphaera_stadtmanae_DSM_3091,339860,EURYARCHAEOTA
GCF_000021965.1,Methanosphaerula_palustris_E1-9c,521011,EURYARCHAEOTA
GCF_000013445.1,Methanospirillum_hungatei_JF-1,323259,EURYARCHAEOTA
GCF_000008645.1,Methanothermobacter_thermautotrophicus_Delta_H,187420,EURYARCHAEOTA
GCF_000179575.2,Methanothermococcus_okinawensis_IH1,647113,EURYARCHAEOTA
GCF_000166095.1,Methanothermus_fervidus_DSM_2088,523846,EURYARCHAEOTA
GCF_000204415.1,Methanothrix_soehngenii_GP6,990316,EURYARCHAEOTA
GCF_000214415.1,Methanotorris_igneus_Kol_5,880724,EURYARCHAEOTA
GCA_001761425.1,Nanohaloarchaea_archaeon_SG9,1737403,EURYARCHAEOTA
GCF_017094485.1,Natranaeroarchaeum_sulfidigenes_AArc-S,2784880,EURYARCHAEOTA
GCF_002156705.1,Natrarchaeobaculum_aegyptiacum_JWNM-HA_15,745377,EURYARCHAEOTA
GCF_000025625.1,Natrialba_magadii_ATCC_43099,547559,EURYARCHAEOTA
GCF_023008545.1,Natribaculum_luteum_IBRC-M_10912,1586232,EURYARCHAEOTA
GCF_000281695.1,Natrinema_J7-2,406552,EURYARCHAEOTA
GCF_000230715.2,Natronobacterium_gregoryi_SP2,797304,EURYARCHAEOTA
GCF_024362485.1,Natronobeatus_ordinarius_WLHSJ27,2963433,EURYARCHAEOTA
GCF_000328685.1,Natronococcus_occultus_SP4,694430,EURYARCHAEOTA
GCF_000026045.1,Natronomonas_pharaonis_DSM_2160,348780,EURYARCHAEOTA
GCF_024362525.1,Natrononativus_amylolyticus_CGA73,2963434,EURYARCHAEOTA
GCF_004799645.1,Natronorubrum_bangense_JCM_10635,61858,EURYARCHAEOTA
GCF_023973145.1,Natronosalvus_vescus_CGA3,2953881,EURYARCHAEOTA
GCF_000725425.1,Palaeococcus_pacificus_DY20341,1343739,EURYARCHAEOTA
GCF_000195935.2,Pyrococcus_abyssi_GE5_Orsay,272844,EURYARCHAEOTA
GCF_000007305.1,Pyrococcus_furiosus_DSM_3638,186497,EURYARCHAEOTA
GCF_020614395.1,Salarchaeum_japonicum_JCM_16327,555573,EURYARCHAEOTA
GCF_000403645.1,Salinarchaeum_Harcht-Bsk1,1333523,EURYARCHAEOTA
GCF_030505615.1,Salinibaculum_sp._KK48,3058903,EURYARCHAEOTA
GCF_002906575.1,Salinigranum_rubrum_GX10,755307,EURYARCHAEOTA
GCF_024296665.1,Salinilacihabitans_rarus_AD-4,2961596,EURYARCHAEOTA
GCF_025231485.1,Salinirubellus_salinus_ZS-35-S2,1364945,EURYARCHAEOTA
GCF_000009965.1,Thermococcus_kodakarensis_KOD1,69014,EURYARCHAEOTA
GCA_000200715.1,Cenarchaeum_symbiosum_A,414004,NITROSOSPHAEROTA
GCF_013340765.1,Conexivisphaera_calida_NAS-02,1874277,NITROSOSPHAEROTA
GCF_000018465.1,Nitrosopumilus_maritimus_SCM1,436308,NITROSOSPHAEROTA
GCF_000698785.1,Nitrososphaera_viennensis_EN76,926571,NITROSOSPHAEROTA
GCA_000270325.1,Candidatus_Caldarchaeum_subterraneum,311458,NITROSOSPHAEROTA
GCA_000204585.1,Candidatus_Nitrosarchaeum_limnium_SFB1,886738,NITROSOSPHAEROTA
GCF_002906215.1,Candidatus_Nitrosocaldus_islandicus,2045011,NITROSOSPHAEROTA
GCF_000802205.1,Candidatus_Nitrosocosmicus_oleophilus_MY3,1353260,NITROSOSPHAEROTA
GCF_002156965.1,Candidatus_Nitrosomarinus_catalina_SPOT01,1898749,NITROSOSPHAEROTA
GCF_000812185.1,Candidatus_Nitrosopelagicus_brevis_CN25,1410606,NITROSOSPHAEROTA
GCF_000299365.1,Candidatus_Nitrosopumilus_koreensis_AR1,1229908,NITROSOSPHAEROTA
GCF_000303155.1,Candidatus_Nitrososphaera_gargensis_Ga9.2,1237085,NITROSOSPHAEROTA
GCF_000955905.1,Candidatus_Nitrosotenuis_cloacae_SAT1,1603555,NITROSOSPHAEROTA
GCF_031201125.1,Acidiplasma_sp.,1872114,THERMOPLASMATOTA
GCF_000025665.1,Aciduliprofundum_boonei_T469,439481,THERMOPLASMATOTA
GCA_019262145.1,Candidatus_Methanogranum_sp._U3.2.1,2848114,THERMOPLASMATOTA
GCF_000404225.1,Candidatus_Methanomassiliicoccus_intestinalis_Issoire-Mx1,1295009,THERMOPLASMATOTA
GCF_003711245.1,Candidatus_Methanomethylophilus_alvus_Mx-05,1291540,THERMOPLASMATOTA
GCF_000800805.1,Candidatus_Methanoplasma_termitum_MpT1,1577791,THERMOPLASMATOTA
GCF_900090055.1,Cuniculiplasma_divulgatum_PM4_JCM_30641,1673428,THERMOPLASMATOTA
GCF_000152265.2,Ferroplasma_acidarmanus_Fer1,333146,THERMOPLASMATOTA
GCA_009911715.1,Methanomassiliicoccaceae_archaeon_DOK,1535962,THERMOPLASMATOTA
GCA_030168595.1,Methanomassiliicoccales_archaeon_LGM-DZ1,3018978,THERMOPLASMATOTA
GCF_000008265.1,Picrophilus_oshimae_DSM_9789_DSM_9790,1122961,THERMOPLASMATOTA
GCF_000195915.1,Thermoplasma_acidophilum_DSM_1728,273075,THERMOPLASMATOTA
GCF_000011185.1,Thermoplasma_volcanium_GSS1,273116,THERMOPLASMATOTA
GCA_000350305.1,Thermoplasmatales_archaeon_BRNA1,1054217,THERMOPLASMATOTA
GCA_016806715.1,Thermoplasmatales_archaeon_B_DKE,2268204,THERMOPLASMATOTA
GCA_001560915.1,methanogenic_archaeon_ISO4-H5,1495144,THERMOPLASMATOTA
GCA_000246735.1,uncultured_Candidatus_Poseidoniales_archaeon,274854,THERMOPLASMATOTA
GCA_000008085.1,Nanoarchaeum_equitans_Kin4-M,228908,OTHER_ARCHAEA
GCF_023169545.1,Nanobdella_aerobiophila,2586965,OTHER_ARCHAEA
GCA_016432325.1,Candidatus_Aenigmarchaeota_archaeon,2093792,OTHER_ARCHAEA
GCA_020341775.1,Candidatus_Bathyarchaeota_archaeon,2026714,OTHER_ARCHAEA
GCA_020344435.1,Candidatus_Bathyarchaeota_archaeon,2026714,OTHER_ARCHAEA
GCA_020344315.1,Candidatus_Bathyarchaeum,3072974,OTHER_ARCHAEA
GCA_016699555.1,Candidatus_Diapherotrites_archaeon,2026736,OTHER_ARCHAEA
GCA_013426015.1,Candidatus_Fermentimicrarchaeum_limneticum,2795018,OTHER_ARCHAEA
GCF_000019605.1,Candidatus_Korarchaeum_cryptofilum_OPF8,374847,OTHER_ARCHAEA
GCF_002214165.1,Candidatus_Mancarchaeum_acidiphilum_Mia14,1920749,OTHER_ARCHAEA
